"YEAR","Model_SE_LE","Transm","Engine","TYPE_A","Cond","Color","Auction","Price","Odometer","Model_SE","AutoTrans","AGE","Cyl6","CondBelow","CondAbove","AucType","BLACK","WHITE","RED","BLUE","SILVER","BEIGE","GREEN","GOLD","California","SEATTLE","DALLAS","ORLANDO","Pennsylvan","OHIO"
2010,"4D SEDAN LE","A",4,"Open","Avg","GRAY","NASHVILL",8190,104770,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","M",4,"Open","Avg","WHITE","ATLANTA",15300,45460,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN LE","A",4,"Open","Above","GRAY","NASHVILL",11610,44230,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN SE","A",4,"Open","Below","GRAY","NewJersey",13050,52970,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","WHITE","MILWAUKE",15450,31223,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",4,"Open","Avg","BLUE","ORLANDO",14810,30220,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2013,"4D SEDAN LE","A",4,"Open","Avg","WHITE","ORLANDO",12660,54080,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015,"4D SEDAN SE","A",4,"Closed","Avg","SILVER","SEATTLE",17960,14560,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2014,"4D SEDAN LE","A",4,"Closed","Avg","WHITE","KansasCity",13380,34126,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","M",4,"Open","Above","GRAY","Pennsylvan",13050,62390,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,"4D SEDAN LE","A",4,"Open","Avg","WHITE","ORLANDO",13200,22383,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN LE","A",4,"Open","Avg","GOLD","DALLAS",7760,92560,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2012,"4D SEDAN LE","A",4,"Open","Above","WHITE","ATLANTA",15120,16270,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN SE","A",4,"Open","Below","WHITE","NewJersey",11750,55855,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","SILVER","ORLANDO",14900,36299,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2013,"4D SEDAN SE","A",4,"Open","Avg","BLUE","OHIO",13220,48830,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013,"4D SEDAN LE","A",4,"Closed","Avg","GRAY","NEWENGLD",12560,36150,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Above","RED","ORLANDO",18100,5432,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN SE","M",6,"Closed","Above","GRAY","DALLAS",19490,8730,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,"4D SEDAN LE","A",6,"Open","Below","WHITE","NEWENGLD",13900,87542,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN SE","A",6,"Closed","Avg","GRAY","NorthCarol",11620,85560,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","WHITE","DENVER",10410,75640,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN LE","A",6,"Open","Below","WHITE","MILWAUKE",8850,143907,0,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Open","Below","GRAY","NewJersey",12200,55040,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Avg","SILVER","DENVER",17050,16068,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","A",6,"Open","Avg","RED","ORLANDO",15800,30047,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN SE","A",4,"Open","Avg","RED","ATLANTA",8810,102950,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","M",6,"Open","Avg","WHITE","KansasCity",15250,28980,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN LE","A",4,"Closed","Avg","SILVER","ORLANDO",12980,36061,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","A",4,"Open","Avg","GRAY","MILWAUKE",12510,34940,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN LE","A",4,"Closed","Avg","BLACK","ATLANTA",12615,40458,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN LE","A",4,"Open","Below","GRAY","ORLANDO",14650,17262,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN SE","A",6,"Open","Below","BLACK","NASHVILL",14355,85380,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN LE","M",4,"Closed","Above","GRAY","Pennsylvan",16430,17030,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,"4D SEDAN SE","A",4,"Open","Avg","SILVER","ORLANDO",14350,20426,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","A",6,"Open","Avg","GRAY","MILWAUKE",15150,36041,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN LE","A",4,"Closed","Avg","GRAY","ORLANDO",9310,80920,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,"4D SEDAN LE","A",4,"Closed","Below","RED","DENVER",8300,84900,0,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","M",4,"Open","Avg","GRAY","ORLANDO",14800,30460,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,"4D SEDAN SE","M",4,"Open","Avg","RED","Pennsylvan",14150,33590,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
